CRN,Cap,Act,Rem,Status
37586,40,--,0,CLOSED
38677,40,--,0,CLOSED
38680,40,--,0,CLOSED
38578,40,--,0,CLOSED
38055,40,--,0,Waitlisted
38909,40,--,0,CLOSED
34776,40,--,0,CLOSED
30555,24,--,0,CLOSED
32119,24,--,0,CLOSED
32120,24,--,0,CLOSED
35403,24,--,0,CLOSED
36438,24,--,0,CLOSED
30190,24,--,0,CLOSED
36437,24,--,0,CLOSED
37635,24,--,0,CLOSED
37868,24,--,0,CLOSED
30674,24,--,0,CLOSED
35223,24,--,0,CLOSED
37567,30,--,0,CLOSED
37568,30,--,0,CLOSED
38356,15,--,0,CLOSED
38355,15,--,0,CLOSED
38359,15,--,0,CLOSED
38360,15,--,0,CLOSED
38357,15,--,0,CLOSED
38358,15,--,0,CLOSED
38361,15,--,0,CLOSED
38364,15,--,0,CLOSED
38370,15,--,0,CLOSED
38369,15,--,0,CLOSED
38371,15,--,0,CLOSED
38362,15,--,0,CLOSED
32739,20,--,0,CLOSED
32740,20,--,0,CLOSED
32741,20,--,0,CLOSED
32742,24,--,0,CLOSED
32743,20,--,0,CLOSED
32744,20,--,0,CLOSED
37097,1,--,0,CLOSED
37610,20,--,0,CLOSED
32747,20,--,0,CLOSED
32172,40,--,0,CLOSED
38580,40,--,0,CLOSED
32856,40,--,0,CLOSED
32225,30,--,0,CLOSED
30485,30,--,0,CLOSED
31758,25,--,0,CLOSED
31759,25,--,0,CLOSED
36159,24,--,0,CLOSED
38688,24,--,0,CLOSED
36647,28,--,0,CLOSED
36648,28,--,0,CLOSED
32906,28,--,0,CLOSED
34519,15,--,0,CLOSED
36646,15,--,0,CLOSED
30510,40,--,0,CLOSED
31291,40,--,0,CLOSED
31342,40,--,0,CLOSED
31343,40,--,0,CLOSED
32325,40,--,0,CLOSED
34341,40,--,0,CLOSED
36203,40,--,0,CLOSED
38558,40,--,0,CLOSED
34340,40,--,0,CLOSED
36744,36,--,0,CLOSED
38559,40,--,0,CLOSED
32930,40,--,0,CLOSED
34549,40,--,0,CLOSED
35147,40,--,0,CLOSED
30029,40,--,0,CLOSED
31747,40,--,0,CLOSED
32326,40,--,0,CLOSED
36745,40,--,0,CLOSED
36747,40,--,0,CLOSED
37605,40,--,0,CLOSED
32199,40,--,0,CLOSED
32330,40,--,0,CLOSED
32394,40,--,0,CLOSED
32590,40,--,0,CLOSED
33128,40,--,0,CLOSED
33289,40,--,0,CLOSED
35810,40,--,0,CLOSED
33285,40,--,0,CLOSED
33286,40,--,0,CLOSED
34689,40,--,0,CLOSED
35862,40,--,0,CLOSED
38783,30,--,0,CLOSED
38638,30,--,0,CLOSED
38854,20,--,0,CLOSED
38782,30,8,22,Restricted: Dual Enrollment
38560,35,--,0,CLOSED
30561,40,--,0,CLOSED
33982,40,--,0,CLOSED
36204,40,--,0,CLOSED
36751,40,--,0,CLOSED
37665,30,--,0,CLOSED
36830,40,--,0,CLOSED
38861,40,--,0,CLOSED
32969,40,--,0,CLOSED
36829,40,--,0,CLOSED
37687,40,--,0,CLOSED
37623,40,--,0,CLOSED
38877,40,--,0,CLOSED
38904,40,--,0,CLOSED
38697,40,17,23,Restricted: Dual Enrollment
32857,40,--,0,CLOSED
37607,40,--,0,CLOSED
35665,40,--,0,CLOSED
38665,40,--,0,CLOSED
32173,40,--,0,CLOSED
38262,40,--,0,CLOSED
38811,40,--,0,CLOSED
38263,40,--,0,CLOSED
37611,40,--,0,CLOSED
37612,40,--,0,CLOSED
37621,40,--,0,CLOSED
37622,40,--,0,CLOSED
37619,40,--,0,CLOSED
37615,40,--,0,CLOSED
37841,40,--,0,CLOSED
34749,30,--,0,CLOSED
37926,30,--,0,CLOSED
38409,30,--,0,CLOSED
31352,30,--,0,CLOSED
32077,30,--,0,CLOSED
31093,30,--,0,CLOSED
31355,30,--,0,CLOSED
31358,30,--,0,CLOSED
32074,30,--,0,CLOSED
34640,30,--,0,CLOSED
38413,30,--,0,CLOSED
38414,30,--,0,CLOSED
30279,30,--,0,CLOSED
30378,30,--,0,CLOSED
31357,30,--,0,CLOSED
38069,30,--,0,CLOSED
38874,30,--,0,See Instructor
38882,30,--,0,See Instructor
31524,30,--,0,CLOSED
30570,30,--,0,CLOSED
34738,30,--,0,CLOSED
30877,30,--,0,CLOSED
30829,30,--,0,CLOSED
31371,25,--,0,CLOSED
30619,25,--,0,CLOSED
38827,25,--,0,CLOSED
38828,25,--,0,CLOSED
32050,25,--,0,CLOSED
38412,30,--,0,CLOSED
36413,25,--,0,CLOSED
30334,32,--,0,CLOSED
31042,32,--,0,CLOSED
31384,32,--,0,CLOSED
31386,32,--,0,CLOSED
31396,32,--,0,CLOSED
31566,32,--,0,CLOSED
32998,32,--,0,CLOSED
33036,32,--,0,CLOSED
33738,32,--,0,CLOSED
38668,32,--,0,CLOSED
38701,32,--,0,CLOSED
30346,32,--,0,CLOSED
30348,32,--,0,CLOSED
31394,32,--,0,CLOSED
